tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
1003831,1.651169,1518.1845,1.5,1246.5,57.39,0.7027,True,,0.7027
1129033,1.360046,1410.9788,2.0,16357.2,133.77,0.9708,True,,0.9708
1167538,16.714918,1450.2734,8.0,2811.3,22.4,0.0636,False,odd/even depth differ by 199.8% (6385 vs 3 ppm),0.0
1333933,3.276394,3989.9812,2.0,10263.9,26.53,0.9839,True,,0.9839
1528696,0.882064,1438.3955,1.0,6381.6,80.51,0.3007,True,,0.3007
4616072,4.18762,1469.0592,2.0,9892.3,103.44,0.8968,True,,0.8968
4646810,14.50186,1416.335,1.0,875.6,6.45,0.0574,False,odd/even depth differ by 69.2% (1017 vs 494 ppm),0.0
4897275,16.692735,1872.3319,4.0,483.3,10.3,0.5041,True,,0.5041
4918918,3.897827,1872.3006,4.0,3616.2,43.67,0.1726,True,,0.1726
5882269,12.920467,2486.3887,4.0,7543.4,12.4,0.2639,True,,0.2639
6663331,3.181115,1659.7896,2.0,13049.1,73.94,0.9353,True,,0.9353
6892385,8.267249,2504.0771,3.0,1054.1,19.97,0.9611,True,,0.9611
6893917,3.080187,2502.3938,3.0,8057.1,365.17,0.9873,True,,0.9873
7020254,10.136607,1495.1642,3.0,9038.9,54.92,0.989,False,odd/even depth differ by 199.0% (31 vs 12818 ppm),0.0
7059054,5.185905,2503.0715,2.0,9159.9,114.58,0.848,True,,0.848
7088246,2.160488,1658.6819,1.5,9132.5,46.85,0.5917,True,,0.5917
7548817,4.520585,2392.337,4.0,6922.6,178.2,0.9838,True,,0.9838
8260536,10.589157,2616.4945,4.0,8220.2,9.5,0.9867,True,,0.9867
8400842,3.191459,1819.0849,3.0,5873.7,97.68,0.8582,True,,0.8582
8599009,2.881239,3481.3784,1.5,8092.1,17.28,0.8878,True,,0.8878
8767448,4.353327,1870.7453,3.0,8602.0,30.34,0.9762,True,,0.9762
8967242,7.085876,1904.8228,3.0,175.3,7.21,0.0905,True,,0.0905
9155187,4.18762,2582.1734,3.0,9015.7,41.48,0.9869,True,,0.9869
9348006,10.24034,1877.5713,3.0,8580.7,26.63,0.9567,True,,0.9567
9385460,3.378014,3044.1894,4.0,5558.1,53.1,0.9881,True,,0.9881
9443323,4.01398,2913.7913,3.0,7245.9,53.03,0.9756,True,,0.9756
9989136,13.993149,1844.555,8.0,1035.3,9.32,0.427,False,odd/even depth differ by 21.8% (899 vs 722 ppm),0.0
