tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
2876,2.627404,3775.8758,2.0,19500.7,11.62,0.827,True,,0.827
4711,6.983116,3775.3174,1.0,43861.1,5.17,0.6016,False,depth 4.39% exceeds 3.0% cap,0.0
17361,3.605142,3775.3279,1.5,8178.2,12.57,0.9527,True,,0.9527
47667,10.628292,3781.509,1.5,1772.8,4.31,0.0693,False,odd/even depth differ by 35.9% (1833 vs 1275 ppm),0.0
56884,3.920323,3778.1382,2.0,7843.3,9.83,0.881,True,,0.881
160023,6.768549,3074.6263,3.0,4077.0,4.64,0.5967,True,,0.5967
808243,1.50826,3506.6206,3.0,11867.9,31.32,0.9576,True,,0.9576
857186,3.811658,3803.7918,2.0,15290.1,23.93,0.9623,True,,0.9623
909930,4.196899,3807.157,4.0,4467.5,15.52,0.9881,True,,0.9881
1018843,1.912718,2965.7065,2.0,292.1,43.74,0.5815,True,,0.5815
1103432,3.727668,1519.8796,3.0,15103.2,99.54,0.9862,True,,0.9862
1260235,7.703657,4052.6452,3.0,4049.8,4.47,0.0939,True,,0.0939
1449640,3.501852,1440.4091,4.0,11816.5,112.49,0.8375,True,,0.8375
1525480,5.509331,2992.3728,3.0,5849.6,57.76,0.9819,True,,0.9819
1942969,2.80779,2912.806,1.5,5005.5,25.47,0.9176,True,,0.9176
2507547,12.912843,1828.0857,2.0,349.0,9.21,0.0012,False,odd/even depth differ by 114.0% (286 vs 78 ppm),0.0
2685481,4.13634,2913.6977,1.5,398.5,5.87,0.1188,True,,0.1188
2758565,1.890829,2089.6307,2.0,4943.6,17.62,0.1996,False,odd/even depth differ by 113.5% (1977 vs 7163 ppm),0.0
2760219,4.661139,2089.6202,1.5,3985.3,39.87,0.1467,True,,0.1467
3233861,10.112703,4053.2004,8.0,27018.4,3.61,0.1002,False,odd/even depth differ by 60.4% (32463 vs 17395 ppm),0.0
3364732,3.623809,2476.0446,2.0,10412.1,75.92,0.9787,True,,0.9787
3808740,6.670883,2644.0556,3.0,5943.3,8.91,0.9868,True,,0.9868
3840990,3.525703,2991.363,4.0,6957.2,55.23,0.9882,True,,0.9882
3896759,4.581358,2644.7751,3.0,10321.8,11.78,0.9907,True,,0.9907
4102368,3.112397,2990.9596,2.0,21113.9,39.96,0.9478,True,,0.9478
4165850,4.280709,1846.2488,2.0,430.9,23.1,0.9946,False,odd/even depth differ by 20.7% (477 vs 387 ppm),0.0
4464022,5.916751,2453.2112,1.0,21972.4,29.13,0.2149,True,,0.2149
4486230,14.917489,1855.382,4.0,463.5,5.58,0.2111,True,,0.2111
4598935,18.173546,3728.9796,6.0,3457.9,6.14,0.9615,True,,0.9615
4605846,3.717781,2500.9594,3.0,9042.2,98.17,0.995,True,,0.995
4619242,4.302557,3211.8297,1.5,21925.5,46.16,0.9819,True,,0.9819
4729001,0.712792,2989.9809,1.5,22153.2,123.47,0.0834,True,,0.0834
4959676,2.235895,2991.093,2.0,694.9,23.43,0.07,True,,0.07
5224772,4.599307,2990.941,3.0,20818.0,66.38,0.9586,True,,0.9586
5364106,13.165849,2256.5389,6.0,973.1,7.06,0.1334,False,odd/even depth differ by 187.3% (42 vs 1286 ppm),0.0
5485318,4.830591,2993.7052,4.0,8567.9,62.69,0.9831,True,,0.9831
5592720,13.168764,3669.8974,2.0,11095.5,6.7,0.1388,False,odd/even depth differ by 33.1% (14267 vs 10217 ppm),0.0
5709314,2.618502,3719.8086,1.0,3566.7,19.18,0.443,True,,0.443
6010784,4.515585,3041.9069,4.0,4960.4,12.34,0.9657,False,odd/even depth differ by 15.7% (4175 vs 4886 ppm),0.0
6276559,5.436649,2233.9467,3.0,4153.0,33.88,0.0075,True,,0.0075
6404965,4.864568,3131.062,2.0,3525.7,23.21,0.9669,True,,0.9669
6764171,12.170048,3138.6994,4.0,2265.8,10.35,0.2679,True,,0.2679
6853696,3.420397,3238.4521,4.0,9539.1,14.51,0.9901,True,,0.9901
6898572,12.579954,3138.9099,6.0,31298.9,16.14,0.0134,False,depth 3.13% exceeds 3.0% cap,0.0
7274938,1.099453,2964.6123,1.0,2713.5,12.73,0.0936,False,odd/even depth differ by 31.5% (2889 vs 2102 ppm),0.0
7413227,3.415857,2335.644,1.5,1953.7,54.65,0.314,True,,0.314
7422496,9.400389,1441.5394,6.0,98.0,6.0,0.2748,False,odd/even depth differ by 45.4% (80 vs 127 ppm),0.0
7561203,2.484318,2229.7425,2.0,990.7,11.14,0.0238,True,,0.0238
7562528,5.247872,3690.2906,3.0,6856.3,17.11,0.9964,True,,0.9964
7583660,5.332961,3314.9083,6.0,1887.3,41.28,0.9909,True,,0.9909
7681574,16.011199,3325.4291,2.0,5951.6,15.06,0.9497,True,,0.9497
7976072,8.99798,2968.1431,4.0,5464.8,14.29,0.978,True,,0.978
8005485,5.107306,3071.2324,1.0,12269.4,20.15,0.366,True,,0.366
8516795,8.214959,2395.8597,4.0,2865.2,56.71,0.996,True,,0.996
8621049,0.918254,2912.6871,1.0,5980.8,21.62,0.242,False,odd/even depth differ by 42.9% (6889 vs 4455 ppm),0.0
8853478,7.531129,2617.2903,3.0,2608.2,4.31,0.7762,True,,0.7762
8988289,13.34383,2100.3412,1.5,36205.9,34.38,0.379,False,depth 3.62% exceeds 3.0% cap,0.0
9032367,1.632153,3183.76,2.0,12967.9,32.53,0.6734,True,,0.6734
9100874,6.166784,2091.6974,1.5,10169.3,32.63,0.9282,True,,0.9282
9136777,3.780012,3285.8662,3.0,15898.2,35.01,0.9897,True,,0.9897
9151337,13.067142,1854.5926,8.0,1406.3,7.04,0.7085,True,,0.7085
9166136,6.080941,3910.0349,2.0,1232.7,5.29,0.9562,False,odd/even depth differ by 57.2% (949 vs 1708 ppm),0.0
9344899,8.58235,3991.6493,4.0,7038.6,19.4,0.9726,True,,0.9726
9346507,4.980783,2612.2934,3.0,21390.6,15.5,0.9928,True,,0.9928
9392421,9.617868,2613.5178,4.0,6150.7,9.8,0.971,True,,0.971
9441591,4.718924,3288.7163,4.0,3549.0,11.04,0.7551,True,,0.7551
9701368,5.399473,3456.0275,3.0,13002.3,6.87,0.9886,False,odd/even depth differ by 35.6% (16961 vs 11837 ppm),0.0
9707944,19.736151,2107.4765,4.0,967.9,16.23,0.8589,True,,0.8589
9828416,6.210159,2719.0378,4.0,3104.4,32.63,0.9937,True,,0.9937
9833284,0.684296,3286.3183,1.0,591.4,9.03,0.0931,False,odd/even depth differ by 21.7% (548 vs 682 ppm),0.0
10507330,5.11749,2722.6503,1.5,2450.4,48.52,0.8227,True,,0.8227
